id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
9.91059E+17,https://twitter.com/derek_healey/status/991058784897335298,Mon Apr 30 20:56:41 +0000 2018,2018-04-30 20:56:41+00:00,derek_healey,"RT @AshAgony: #DecolonizeThisPlace took over the Brooklyn Museum earlier today, dropped banners, &amp; read a list of demands to #DecolonizeBroâ€_",retweet,,DecolonizeThisPlace,,,0,,,,en,,,107,9.90693E+17,AshAgony,809115114,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",7.02179E+17,Tue Feb 23 17:10:00 +0000 2016,FALSE,"Barefoot Anthropologist, Abolitionist, Anti-racism Advocate",233,18,78,1,"Albany, NY",Derek James Healey,94,,http://facebook.com/healey.derek,FALSE
9.91055E+17,https://twitter.com/LDipetrillo/status/991055484290510849,Mon Apr 30 20:43:35 +0000 2018,2018-04-30 20:43:35+00:00,LDipetrillo,"RT @AshAgony: #DecolonizeThisPlace took over the Brooklyn Museum earlier today, dropped banners, &amp; read a list of demands to #DecolonizeBroâ€_",retweet,,DecolonizeThisPlace,,,0,,,,en,,,107,9.90693E+17,AshAgony,809115114,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",9.14596E+17,Sun Oct 01 20:59:09 +0000 2017,FALSE,"(she/her)                                                   hobbies include using outdated slang, ya dig?",362,17,24,0,"Bryn Mawr, PA",post-it collector,343,Eastern Time (US & Canada),,FALSE
9.91054E+17,https://twitter.com/bialcan/status/991053571042021376,Mon Apr 30 20:35:58 +0000 2018,2018-04-30 20:35:58+00:00,bialcan,"RT @maralbabai: â€œBlack women, dead, disappear, without even a hashtagâ€ù #DecolonizeBrooklynMuseum #decolonizethisplace https://t.co/Dfev4XAiâ€_",retweet,,DecolonizeBrooklynMuseum decolonizethisplace,,,0,,,,en,,,15,9.9064E+17,maralbabai,2788436192,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",68436665,Mon Aug 24 15:51:47 +0000 2009,FALSE,"acima de tudo, mulher â€“ DANIEL, Carlos",61,45,202,1,,Beatriste,180,Greenland,,FALSE
9.91052E+17,https://twitter.com/AMST_Anni/status/991052485732261888,Mon Apr 30 20:31:40 +0000 2018,2018-04-30 20:31:40+00:00,AMST_Anni,RT @maralbabai: â€œWe are here today because Chinatown is not the only community to face massive displacement... we are here to say no to genâ€_,retweet,,,,,0,,,,en,,,20,9.90638E+17,maralbabai,2788436192,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2790613874,Thu Sep 04 21:02:31 +0000 2014,FALSE,"I write about philosophy, museums, and empathy in contemporary art and history. Views are my own.",11,465,596,23,Wampanoag/Narragansett Lands,Anni Pullagura,12711,,,FALSE
9.91052E+17,https://twitter.com/PeachWhitesel/status/991052290554556421,Mon Apr 30 20:30:53 +0000 2018,2018-04-30 20:30:53+00:00,PeachWhitesel,"RT @AshAgony: #DecolonizeThisPlace took over the Brooklyn Museum earlier today, dropped banners, &amp; read a list of demands to #DecolonizeBroâ€_",retweet,,DecolonizeThisPlace,,,0,,,,en,,,107,9.90693E+17,AshAgony,809115114,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1431737286,Wed May 15 23:54:31 +0000 2013,FALSE,please do,61965,412,960,8,temple 2022,mind ur business whitesel,26557,,,FALSE
9.91047E+17,https://twitter.com/RethinkLinkNYC/status/991047056415449088,Mon Apr 30 20:10:05 +0000 2018,2018-04-30 20:10:05+00:00,RethinkLinkNYC,RT @occupytheory: More on the Brooklyn Museumâ€™s crisis as ignored the communities at its door step in @ARTnewsmag #decolonizethisplace #Decâ€_,retweet,,decolonizethisplace,,,0,,,,en,,FALSE,4,9.91046E+17,occupytheory,472499685,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",7.8958E+17,Fri Oct 21 21:31:00 +0000 2016,FALSE,Free Wi-Fi should really be free,739,146,246,10,The Streets of New York,Rethink Link,869,Eastern Time (US & Canada),http://rethinklink.nyc,FALSE
9.91047E+17,https://twitter.com/buildworkrswrld/status/991046565606379521,Mon Apr 30 20:08:08 +0000 2018,2018-04-30 20:08:08+00:00,buildworkrswrld,"RT @AshAgony: #DecolonizeThisPlace took over the Brooklyn Museum earlier today, dropped banners, &amp; read a list of demands to #DecolonizeBroâ€_",retweet,,DecolonizeThisPlace,,,0,,,,en,,,107,9.90693E+17,AshAgony,809115114,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2857965123,Mon Nov 03 00:53:52 +0000 2014,FALSE,"build a workers world! They, them. Freelance camera operator & editor. https://t.co/6aYseZK2wW.",13059,498,631,6,"New York, USA",wdnsdyadams,3316,Pacific Time (US & Canada),https://www.sofiaadamsphoto.com/,FALSE
9.91046E+17,https://twitter.com/AshAgony/status/991046493850267648,Mon Apr 30 20:07:51 +0000 2018,2018-04-30 20:07:51+00:00,AshAgony,RT @occupytheory: More on the Brooklyn Museumâ€™s crisis as ignored the communities at its door step in @ARTnewsmag #decolonizethisplace #Decâ€_,retweet,,decolonizethisplace,,,0,,,,en,,FALSE,4,9.91046E+17,occupytheory,472499685,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",809115114,Fri Sep 07 15:50:39 +0000 2012,FALSE,"Writer. Thinker. Reporter. Iconoclast.  Into politics, philosophy, science, sexuality, religion, and culture.",108551,7580,2510,383,"Brooklyn, NYC",Ash J,73834,Atlantic Time (Canada),http://gofund.me/ivgsrg,FALSE
9.91046E+17,https://twitter.com/occupytheory/status/991045940483117062,Mon Apr 30 20:05:39 +0000 2018,2018-04-30 20:05:39+00:00,occupytheory,More on the Brooklyn Museumâ€™s crisis as ignored the communities at its door step in @ARTnewsmag #decolonizethisplace #DecolonizeBrooklynMuseum https://t.co/mwM0J643KP,original,,decolonizethisplace DecolonizeBrooklynMuseum,,http://dlvr.it/QRJpK3,4,,,,en,,FALSE,4,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",472499685,Tue Jan 24 00:52:34 +0000 2012,FALSE,TIDAL conversations launch theories and strategies towards ACTION - online and in print.,4733,7308,4422,327,Occupy Wall Street,Occupy Theory,20231,Atlantic Time (Canada),http://www.decolonizethisplace.org,FALSE
9.91042E+17,https://twitter.com/ATintofPurple/status/991042137495101440,Mon Apr 30 19:50:32 +0000 2018,2018-04-30 19:50:32+00:00,ATintofPurple,"RT @AshAgony: #DecolonizeThisPlace took over the Brooklyn Museum earlier today, dropped banners, &amp; read a list of demands to #DecolonizeBroâ€_",retweet,,DecolonizeThisPlace,,,0,,,,en,,,107,9.90693E+17,AshAgony,809115114,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8.81969E+17,Mon Jul 03 20:14:42 +0000 2017,FALSE,"Action news from around the world, relevant politics, & a smattering of OPSEC for activists_Ÿè´ [Retweets do not constitute endorsement/promotion of action/event]",7049,156,330,0,,It'sAColor,12087,,,FALSE
